name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;520;0;771;3045;1064;3045;1064;0
header;223;137;223;174;1851;174;1851;137
A;1031;197;1031;224;1053;224;1053;197
A;978;555;978;555;978;555;978;555
B;866;796;866;811;875;811;875;796
B;1028;862;1028;889;1048;889;1048;862
A;814;1492;814;1492;814;1492;814;1492
C;1027;1525;1027;1554;1049;1554;1049;1525
A;781;1706;781;1706;781;1706;781;1706
D;724;2080;724;2096;732;2096;732;2080
B;814;2163;814;2179;837;2179;837;2163
A;875;2173;875;2188;882;2188;882;2173
D;1032;2197;1032;2225;1053;2225;1053;2197
A;816;2265;816;2280;824;2280;824;2265
B;898;2673;898;2688;906;2688;906;2673
B;1007;2821;1007;2835;1029;2835;1029;2821
