name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;785;0;601;3055;1637;3055;1476;0
header;166;171;166;210;1789;210;1789;171
A;969;236;969;261;988;261;988;236
B;1301;289;1301;306;1315;306;1315;289
D;999;688;999;714;1033;714;1033;688
B;963;899;963;927;986;927;986;899
A;1384;1289;1384;1303;1392;1303;1392;1289
B;1503;1332;1503;1351;1516;1351;1516;1332
C;961;1564;961;1592;981;1592;981;1564
D;1358;1696;1358;1711;1366;1711;1366;1696
A;1122;2188;1122;2202;1132;2202;1132;2188
D;960;2227;960;2254;982;2254;982;2227
B;1511;2509;1511;2527;1525;2527;1525;2509
A;1516;2790;1516;2790;1516;2790;1516;2790
C;876;2853;876;2875;895;2875;895;2853
